[34m[1mwandb[0m: Detected [agents] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Weave is installed but not imported. Add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai
Weights & Biases initialized.
Game: 0080/500 | Score: 00 | Steps: 060 | Epsilon: 0.010
Game: 0081/500 | Score: 00 | Steps: 020 | Epsilon: 0.010
Game: 0082/500 | Score: 04 | Steps: 072 | Epsilon: 0.010
Score: 4.
Game: 0083/500 | Score: 00 | Steps: 038 | Epsilon: 0.010
Game: 0084/500 | Score: 00 | Steps: 044 | Epsilon: 0.010
Game: 0085/500 | Score: 00 | Steps: 032 | Epsilon: 0.010
Game: 0086/500 | Score: 02 | Steps: 082 | Epsilon: 0.010
Game: 0087/500 | Score: 01 | Steps: 049 | Epsilon: 0.010
Game: 0088/500 | Score: 04 | Steps: 124 | Epsilon: 0.010
Game: 0089/500 | Score: 01 | Steps: 024 | Epsilon: 0.010
Game: 0090/500 | Score: 00 | Steps: 042 | Epsilon: 0.010
Game: 0091/500 | Score: 03 | Steps: 158 | Epsilon: 0.010
Game: 0092/500 | Score: 01 | Steps: 078 | Epsilon: 0.010
Game: 0093/500 | Score: 00 | Steps: 189 | Epsilon: 0.010
Game: 0094/500 | Score: 00 | Steps: 038 | Epsilon: 0.010
Game: 0095/500 | Score: 03 | Steps: 082 | Epsilon: 0.010
Game: 0096/500 | Score: 02 | Steps: 096 | Epsilon: 0.010
Game: 0097/500 | Score: 01 | Steps: 060 | Epsilon: 0.010
Game: 0098/500 | Score: 00 | Steps: 036 | Epsilon: 0.010
Game: 0099/500 | Score: 01 | Steps: 040 | Epsilon: 0.010
Game: 0100/500 | Score: 02 | Steps: 060 | Epsilon: 0.010
Game: 0101/500 | Score: 02 | Steps: 034 | Epsilon: 0.010
Game: 0102/500 | Score: 05 | Steps: 061 | Epsilon: 0.010
Score: 5.
Game: 0103/500 | Score: 03 | Steps: 106 | Epsilon: 0.010
Game: 0104/500 | Score: 02 | Steps: 068 | Epsilon: 0.010
Game: 0105/500 | Score: 02 | Steps: 066 | Epsilon: 0.010
Game: 0106/500 | Score: 03 | Steps: 130 | Epsilon: 0.010
Game: 0107/500 | Score: 02 | Steps: 068 | Epsilon: 0.010
Game: 0108/500 | Score: 03 | Steps: 047 | Epsilon: 0.010
